NFCSnooper version: 01
Absolute timestamp: -3662335184428823378
Time offset, received?, Data
413301, true, 6f0500
70645, true, 6f0600
1306970, true, 6f0500
71552, true, 6f0600
414080, true, 6f0500
70405, true, 6f0600
412782, true, 6f0500
69955, true, 6f0600
413159, true, 6f0500
72062, true, 6f0600
413179, true, 6f0500
69629, true, 6f0600
1309106, true, 6f0500
70519, true, 6f0600
413339, true, 6f0500
72356, true, 6f0600
410693, true, 6f0500
71517, true, 6f0600
413882, true, 6f0500
68956, true, 6f0600
415199, true, 6f0500
70215, true, 6f0600
723150, true, 6f0500
70520, true, 6f0600
412617, true, 6f0500
71457, true, 6f0600
413916, true, 6f0500
69582, true, 6f0600
413449, true, 6f0500
69811, true, 6f0600
413532, true, 6f0500
72313, true, 6f0600
1015808, true, 6f0500
70344, true, 6f0600
413213, true, 6f0500
69488, true, 6f0600
413521, true, 6f0500
71554, true, 6f0600
413268, true, 6f0500
71884, true, 6f0600
412527, true, 6f0500
71683, true, 6f0600
722714, true, 6f0500
69711, true, 6f0600
413715, true, 6f0500
70076, true, 6f0600
414127, true, 6f0500
70163, true, 6f0600
412193, true, 6f0500
72888, true, 6f0600
411972, true, 6f0500
72536, true, 6f0600
1014291, true, 6f0500
70182, true, 6f0600
414705, true, 6f0500
70407, true, 6f0600
412211, true, 6f0500
70832, true, 6f0600
413209, true, 6f0500
71215, true, 6f0600
414360, true, 6f0500
71435, true, 6f0600
721022, true, 6f0500
71614, true, 6f0600
413459, true, 6f0500
70023, true, 6f0600
414133, true, 6f0500
71360, true, 6f0600
413969, true, 6f0500
69328, true, 6f0600
414417, true, 6f0500
69898, true, 6f0600
724141, true, 6f0500
71086, true, 6f0600
413123, true, 6f0500
71814, true, 6f0600
412902, true, 6f0500
71392, true, 6f0600
412352, true, 6f0500
71173, true, 6f0600
413171, true, 6f0500
71420, true, 6f0600
722413, true, 6f0500
71873, true, 6f0600
412629, true, 6f0500
71610, true, 6f0600
412792, true, 6f0500
71189, true, 6f0600
412621, true, 6f0500
71496, true, 6f0600
410571, true, 6f0500
74099, true, 6f0600
722239, true, 6f0500
71392, true, 6f0600
412424, true, 6f0500
71804, true, 6f0600
412555, true, 6f0500
71635, true, 6f0600
412951, true, 6f0500
71410, true, 6f0600
412840, true, 6f0500
71102, true, 6f0600
2188912, true, 6f0500
71086, true, 6f0600
413222, true, 6f0500
71533, true, 6f0600
412733, true, 6f0500
71598, true, 6f0600
412262, true, 6f0500
71987, true, 6f0600
412251, true, 6f0500
67132, true, 6f0600
4260066, true, 6f0500
71578, true, 6f0600
412592, true, 6f0500
71665, true, 6f0600
412889, true, 6f0500
71437, true, 6f0600
412517, true, 6f0500
71774, true, 6f0600
412474, true, 6f0500
67997, true, 6f0600
11965248, true, 6f0500
71135, true, 6f0600
412087, true, 6f0500
71513, true, 6f0600
412102, true, 6f0500
68115, true, 6f0600
417736, true, 6f0500
71428, true, 6f0600
413050, true, 6f0500
67567, true, 6f0600
421492, true, 6f0500
94377, true, 6f0600
413542, true, 6f0500
71583, true, 6f0600
412656, true, 6f0500
71468, true, 6f0600
412826, true, 6f0500
71751, true, 6f0600
411482, true, 6f0500
72408, true, 6f0600
3368255, true, 6f0500
71955, true, 6f0600
412010, true, 6f0500
72797, true, 6f0600
412604, true, 6f0500
71573, true, 6f0600
410061, true, 6f0500
74095, true, 6f0600
409569, true, 6f0500
73320, true, 6f0600
8396181, true, 6f0500
70885, true, 6f0600
413626, true, 6f0500
71812, true, 6f0600
412887, true, 6f0500
71646, true, 6f0600
408130, true, 6f0500
68063, true, 6f0600
419852, true, 6f0500
44907, true, 6f0600
8716637, true, 6f0500
70141, true, 6f0600
412030, true, 6f0500
71822, true, 6f0600
414579, true, 6f0500
70817, true, 6f0600
410488, true, 6f0500
74409, true, 6f0600
412284, true, 6f0500
52733, true, 6f0600
3096734, true, 6f0500
72799, true, 6f0600
411763, true, 6f0500
68916, true, 6f0600
416284, true, 6f0500
59860, true, 6f0600
423055, true, 6f0500
72188, true, 6f0600
408488, true, 6f0500
56440, true, 6f0600
1613747, true, 6f0500
71360, true, 6f0600
417064, true, 6f0500
70318, true, 6f0600
413632, true, 6f0500
72175, true, 6f0600
410232, true, 6f0500
73406, true, 6f0600
412234, true, 6f0500
61487, true, 6f0600
5439383, true, 6f0500
72241, true, 6f0600
412855, true, 6f0500
71672, true, 6f0600
411415, true, 6f0500
71277, true, 6f0600
411886, true, 6f0500
71027, true, 6f0600
413172, true, 6f0500
71685, true, 6f0600
1306722, true, 6f0500
70756, true, 6f0600
411611, true, 6f0500
70564, true, 6f0600
412826, true, 6f0500
70519, true, 6f0600
413924, true, 6f0500
69984, true, 6f0600
413025, true, 6f0500
71175, true, 6f0600
55689621, true, 6f0500
70748, true, 6f0600
413057, true, 6f0500
70886, true, 6f0600
411551, true, 6f0500
71588, true, 6f0600
412714, true, 6f0500
70589, true, 6f0600
413145, true, 6f0500
69567, true, 6f0600
32032715, true, 6f0500
71321, true, 6f0600
410985, true, 6f0500
73268, true, 6f0600
410699, true, 6f0500
71648, true, 6f0600
412379, true, 6f0500
71622, true, 6f0600
411278, true, 6f0500
69591, true, 6f0600
3067499, true, 6f0500
71447, true, 6f0600
411053, true, 6f0500
70755, true, 6f0600
412897, true, 6f0500
72147, true, 6f0600
411343, true, 6f0500
